scientificName	ts	te	speciation	extinction	ancestral_speciation	cont_trait_anc_0	cont_trait_ts_0	cont_trait_te_0	cat_trait_0	cat_trait_anc_0
T122	20.31	14.47	0.4	0.3	0.4	-0.04576829510116762	-0.34728004477800717	-0.43824341125880023	1.0	1.0
T123	20.3	14.58	0.4	0.3	0.4	0.8526988325827556	1.241915727598835	1.3532070608827271	0.0	0.0
T124	20.24	0.0	0.4	0.0	0.4	0.14743048827441	-0.03572378156394526	-0.3233780622941415	0.0	1.0
T125	20.23	13.73	0.4	0.3	0.4	0.05974757517425956	0.3634741787549056	0.3058500671777783	1.0	1.0
T126	20.23	11.82	0.4	0.3	0.4	1.1277471445258669	0.45133326523390327	0.24255046339116176	0.0	0.0
T127	20.17	17.89	0.4	0.05	0.4	0.797524471981662	0.7063604560040754	0.70445238574242	1.0	1.0
T128	20.16	0.0	0.4	0.0	0.4	-0.4055398514719978	0.4567850985740234	-0.2835942314350854	0.0	0.0
T129	20.15	0.0	0.4	0.0	0.4	-0.8474917037650411	-1.6484287638913477	-1.2509733295744734	1.0	1.0
T130	20.14	13.96	0.4	0.3	0.4	0.14783880651201414	0.1677119344430463	0.5210699234481928	1.0	1.0
T131	20.14	13.53	0.4	0.3	0.4	-0.8289302748128384	-0.8277615187520411	-1.5591031424533375	1.0	1.0
T132	20.13	18.29	0.4	0.05	0.4	-0.5555302467667899	-0.697610868125483	-0.577044083455034	1.0	1.0
T133	20.11	18.84	0.4	0.05	0.4	-1.3771818257456798	-2.538145928803702	-2.6072364387390237	0.0	0.0
T134	20.06	14.84	0.4	0.3	0.4	0.7012951633306009	-0.34136866411877176	-0.5790378981390488	1.0	1.0
T137	19.85	10.49	0.1	0.3	0.1	-0.47706796850139793	-0.40990278831865185	-0.9310149226473	1.0	1.0
T138	19.8	13.02	0.1	0.3	0.1	0.8623013622540366	0.4223285843384305	0.7753046310478284	0.0	0.0
T139	19.71	14.59	0.1	0.3	0.1	1.1305598161259316	0.9443587998015354	0.9964586897789616	0.0	0.0
T140	19.65	12.13	0.1	0.3	0.1	-0.7741837143365602	-1.1459311454892986	-1.3389198894210719	0.0	0.0
T141	19.65	0.0	0.1	0.0	0.1	1.1069766747573329	0.9902745088263565	1.4734892404805044	1.0	1.0
T142	19.55	13.61	0.1	0.3	0.1	1.4549096367313967	1.5944900967558857	1.3363738340790126	1.0	0.0
T143	19.38	12.62	0.1	0.3	0.1	-0.03314229357178193	0.09629901842690063	-0.016730904447850574	1.0	1.0
T144	19.25	18.55	0.1	0.05	0.1	0.5831265508591649	0.3743317738903149	0.04938143348600472	0.0	0.0
T145	19.2	0.0	0.1	0.0	0.1	0.5956434774384075	0.9168781821925256	2.159569405613487	0.0	0.0
T146	19.11	14.61	0.1	0.3	0.1	1.151615846376301	0.7470274731189563	0.5667697717328735	0.0	0.0
T147	19.1	16.27	0.1	0.05	0.1	0.4295657419811126	0.682377292590251	0.9871378285002973	0.0	0.0
T148	18.64	13.98	0.1	0.3	0.1	1.6634241639938019	1.1415845790531742	1.0401184471915736	0.0	0.0
T149	18.52	0.0	0.1	0.0	0.1	-0.7304010873923251	-0.8809095435380342	-1.1716501260604255	1.0	1.0
T150	18.46	12.78	0.1	0.3	0.1	1.2751100560253041	0.6789154079321554	0.041700344697729715	1.0	1.0
T151	18.32	13.31	0.1	0.3	0.1	1.0229873791618438	0.733008478096864	1.0704404928524907	0.0	0.0
T152	18.27	10.53	0.1	0.3	0.1	-0.2031996351688804	0.37638634252018466	-0.08784256254667297	1.0	1.0
T154	18.19	14.64	0.1	0.3	0.1	0.05884726643483472	0.04389124994410275	-0.17247466528332467	1.0	1.0
T155	18.17	11.83	0.1	0.3	0.1	-0.9038378120554512	-0.8810687968469583	-1.1181377058546693	1.0	1.0
T156	18.12	10.59	0.1	0.3	0.1	0.22798666198323767	-0.2062429562265328	0.2737155200314101	0.0	0.0
T157	18.1	12.09	0.1	0.3	0.1	0.13340019081643933	0.43135632036411226	0.5247808713278339	1.0	1.0
T158	17.96	16.5	0.1	0.05	0.1	1.7102614170404755	1.3151080560473152	1.3558032533672408	0.0	0.0
T159	17.78	12.07	0.1	0.3	0.1	-0.3558865457124462	0.2500886060167548	0.2721152157985689	1.0	1.0
T160	17.73	11.19	0.1	0.3	0.1	-1.2393522397530035	-0.9565019515551929	-0.833021217994066	1.0	1.0
T161	17.72	0.0	0.1	0.0	0.1	1.6525962734942425	2.491114144616365	1.8354953411551294	0.0	0.0
T162	17.7	11.38	0.1	0.3	0.1	0.7672304719128349	0.41611007768481484	0.5046931375149971	1.0	0.0
T163	17.54	12.5	0.1	0.3	0.1	0.4060278972497873	0.17421811035872134	-0.09345640854894931	1.0	1.0
T164	17.5	10.51	0.1	0.3	0.1	1.6631452836376202	1.5715540123032454	1.986395851575819	0.0	0.0
T165	17.47	0.0	0.1	0.0	0.1	1.8348340672073018	1.5044823508157363	1.6916868474806932	1.0	1.0
T166	17.45	11.09	0.1	0.3	0.1	1.5679923481837297	1.9066150671555215	2.3662433347916996	1.0	1.0
T168	17.14	13.77	0.1	0.3	0.1	2.5171695279147643	2.4959336878981553	2.3804109920250776	1.0	0.0
T169	17.12	14.89	0.1	0.3	0.1	-0.2817544728127015	-0.06941759136646194	0.31302672604102616	1.0	1.0
T170	17.08	0.0	0.1	0.0	0.1	0.09475214466774703	-0.17741548619732142	-0.6666314718793293	0.0	0.0
T171	17.02	0.0	0.1	0.0	0.1	-0.0896577130782605	-0.8542656996182183	-0.10765547639207498	1.0	1.0
T172	16.98	11.18	0.1	0.3	0.1	0.6475207729613666	0.6400463633012413	0.8561654334676104	0.0	0.0
T173	16.97	14.35	0.1	0.3	0.1	0.6563529774703325	0.8065696810926358	1.5066266986496542	0.0	0.0
T174	16.91	14.31	0.1	0.3	0.1	1.0407325249024988	0.4858090789866557	0.6663410783705759	0.0	0.0
T175	16.87	13.79	0.1	0.3	0.1	2.5633511589434623	2.2836854634555284	1.6776078815332056	1.0	0.0
T176	16.81	10.6	0.1	0.3	0.1	1.7012001726845887	1.7590248448428623	1.4773254673501555	0.0	0.0
T177	16.81	11.62	0.1	0.3	0.1	0.4580447942989043	-0.4298679797355458	-0.1319889161040451	1.0	1.0
T179	16.73	0.0	0.1	0.0	0.1	1.837452441659676	1.4707408164943914	1.3619268711048036	1.0	1.0
T181	16.66	14.61	0.1	0.3	0.1	0.27128174814688494	-0.27891446050016894	-0.08180103431196294	1.0	1.0
T182	16.64	12.03	0.1	0.3	0.1	1.727544793667318	1.7265567786259055	1.3824096787026126	0.0	0.0
T183	16.63	14.37	0.1	0.3	0.1	-1.0487207622061887	-1.288930568424343	-1.2174472671679044	0.0	0.0
T184	16.63	12.32	0.1	0.3	0.1	1.068938704741087	0.6053988739214256	0.7700433515727856	0.0	0.0
T185	16.45	0.0	0.1	0.0	0.1	-0.8379855378317143	-0.30807177417949716	-0.26523294657567287	0.0	0.0
T186	16.43	12.98	0.1	0.3	0.1	-0.7929550140113562	-0.15041486349245592	-0.3793949244154492	0.0	1.0
T188	16.18	10.04	0.1	0.3	0.1	-0.19740519343632704	-0.061806822231646685	0.4709476686521113	0.0	0.0
T189	16.07	12.56	0.1	0.3	0.1	1.8500580146368089	0.7441083957343015	0.9897929215048734	1.0	1.0
T190	15.94	0.0	0.1	0.0	0.1	2.3466586991861305	1.821295127588231	1.6971838989240213	0.0	0.0
T191	15.92	10.54	0.1	0.3	0.1	0.8751163548598322	0.6171388177646071	0.3250657481803639	0.0	0.0
T192	15.9	0.0	0.1	0.0	0.1	-0.2825802867208239	-0.5953332444020356	-0.20938093915655456	1.0	1.0
T193	15.86	11.14	0.1	0.3	0.1	1.7329898821028642	2.166033580873896	2.6041646559425264	1.0	1.0
T195	15.67	11.04	0.1	0.3	0.1	-0.6623618566105793	-0.6699216675023233	-0.32164691042923443	0.0	0.0
T196	15.63	0.0	0.1	0.0	0.1	-0.1213080652663989	-0.03289261761906308	0.37102811782598316	1.0	1.0
T198	15.59	13.53	0.1	0.3	0.1	0.5418238303243632	0.1857494735648587	-0.03169354942885103	1.0	1.0
T199	15.58	12.76	0.1	0.3	0.1	1.3550877647844262	1.2943977731395573	1.7352709511507232	1.0	1.0
T200	15.53	11.42	0.1	0.3	0.1	1.9462572181418565	1.917766976920615	1.6987154790336545	1.0	1.0
T202	15.42	12.0	0.1	0.3	0.1	-0.6770557075638554	-0.6074605114239537	-0.5874177423460604	1.0	1.0
T203	15.28	13.19	0.1	0.3	0.1	1.27509410562194	1.155077098187286	1.2521949823462322	1.0	1.0
T204	15.15	0.0	0.1	0.0	0.1	-0.12618332489574194	-0.2654783665341641	0.07391313798330737	1.0	1.0
T205	15.14	0.0	0.1	0.0	0.1	0.873099914690647	0.13153199394956927	0.41684452435537267	0.0	0.0
T206	15.13	11.46	0.1	0.3	0.1	0.8578772462683244	0.9928589397155457	1.0901818569708595	0.0	0.0
T207	15.12	14.28	0.1	0.3	0.1	0.6304060904757494	0.3762539932308758	0.2682620161271413	0.0	0.0
T210	15.03	12.64	0.1	0.3	0.1	-0.4937686567990866	-0.19744775088893163	0.05522610994335216	0.0	0.0
T211	14.95	12.99	0.1	0.3	0.1	1.7201671260301283	1.796405967154465	1.7044067906731752	0.0	0.0
T214	14.65	13.4	0.1	0.3	0.1	0.5529421280820955	0.1387356500605097	0.23614999834003728	1.0	1.0
T215	14.6	11.38	0.1	0.3	0.1	0.5371691936621449	0.8134377976565904	0.6868795598831832	1.0	1.0
T216	14.5	12.86	0.1	0.3	0.1	0.702711606690509	-0.05387076092090304	-0.23479738697204233	0.0	0.0
T217	14.29	12.56	0.1	0.3	0.1	1.7340775775963824	1.8614736647262522	1.8234746103759791	0.0	0.0
T218	14.23	0.0	0.1	0.0	0.1	-1.616387972129374	-1.375693613418721	-0.6504214141174541	1.0	1.0
T220	14.15	13.28	0.1	0.3	0.1	-0.3734923209882026	-0.4341909603766831	-0.3464484797256564	0.0	0.0
T221	13.98	11.09	0.1	0.3	0.1	0.9348822461905717	0.7035931256692186	0.5828397604791828	1.0	0.0
