	PFT	tooth_type	transversal_lophs	hypsodonty_categorical	body_size_cat	acute_lophs	obtuse_lophs	occlusal_topography	horizodonty_Probosc	enamel_folding_or_ptychodonty	skull_shape	upper.tusks	lower.tusks	mandible	mandibular.symphysis	pattern.of.mastication_POM	teeth.replacement	foot.posture
Protanancus_chinjiensis	5	bun	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Protanancus_macinnesi	5	bun	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Protanancus_tobieni	5	bun	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Rhynchotherium_falconeri	5	blm	0	mes	4	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_angled	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Rhynchotherium_tlascalae	5	blm	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_conical	mandb_long_angled	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Serbelodon_barbourensis	5	blm	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_broad	POM_gomph	P4 absent	subunguligrade
Stegotetrabelodon_orbus	5	blm	4	bra	6	0	1	1	4	0	skull_non_bathyceph_domed	up_tsk_nearly_straight	low_tsk_conical	mandb_long_angled	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Stegotetrabelodon_syrticus	5	blm	4	bra	7	0	1	1	4	0	skull_non_bathyceph_domed	up_tsk_nearly_straight	low_tsk_conical	mandb_long_angled	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Tetralophodon_euryrostris	5	blm	0	bra	5	0	1	0	3	0	skull_non_bathyceph_domed	up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_angled	symph_long_parall	POM_gomph	P4 absent	subunguligrade
Torynobelodon_barnumbrowni	5	blm	0	bra	3	0	1	0	3	0		up_tsk_down_curved	low_tsk_flat_shovel	mandb_long_straight	symph_long_broad	POM_gomph	P4 absent	subunguligrade
