sp	hmin	hmax
T14	17.740209214605915	17.740209214605915
T14	20.032535340728707	20.032535340728707
T14	19.314941796083335	19.314941796083335
T14	14.622172224548429	14.622172224548429
T14	13.668279430089724	13.668279430089724
T15	24.524950898342855	24.524950898342855
T15	26.706062030494753	26.706062030494753
T15	23.104055713163316	23.104055713163316
T15	22.638118351248295	22.638118351248295
T15	22.154437581864986	22.154437581864986
T15	22.39642480367281	22.39642480367281
T15	22.597533754188152	22.597533754188152
T15	22.260688689190978	22.260688689190978
T15	22.119948845757516	22.119948845757516
T15	22.448796374116487	22.448796374116487
T15	22.39617840039843	22.39617840039843
